Currency,Date,Rate
NZD,2021-04-07,0.7031378
PEN,2021-04-07,0.27520059999999996
PLN,2021-04-07,0.2586912
RUB,2021-04-07,0.012853
RWF,2021-04-07,0.0010074889999999999
SAR,2021-04-07,0.266667
SEK,2021-04-07,0.11598710000000001
SGD,2021-04-07,0.7457906
sll,2021-04-07,9.800629999999999e-05
THB,2021-04-07,0.031901799999999994
TZS,2021-04-07,0.000431183
UGX,2021-04-07,0.000273731
USD,2021-04-07,1.0
XAF,2021-04-07,0.00180927
XOF,2021-04-07,0.00180927
ZAR,2021-04-07,0.06871405
ZMK,2021-04-07,0.0453633
ZMW,2021-04-07,0.0453633
AED,2021-04-08,0.272294
ARS,2021-04-08,0.01083909
AUD,2021-04-08,0.7631899999999999
BRL,2021-04-08,0.1781614
CAD,2021-04-08,0.7931161
CHF,2021-04-08,1.077377
CZK,2021-04-08,0.0460241
DKK,2021-04-08,0.15975699999999998
ETB,2021-04-08,0.0241276
EUR,2021-04-08,1.1884
GBP,2021-04-08,1.3762
GHS,2021-04-08,0.1730161
ILS,2021-04-08,0.3042027
INR,2021-04-08,0.01345012
JPY,2021-04-08,0.00913615
KES,2021-04-08,0.00925977
MAD,2021-04-08,0.11134300000000001
MUR,2021-04-08,0.024653
MWK,2021-04-08,0.0012725999999999998
MXN,2021-04-08,0.0495645
MYR,2021-04-08,0.2417967
NGN,2021-04-08,0.002631578947
NOK,2021-04-08,0.1177817
NZD,2021-04-08,0.7024916
PEN,2021-04-08,0.2771223
PLN,2021-04-08,0.2606519
RUB,2021-04-08,0.012929499999999998
RWF,2021-04-08,0.00100744
SAR,2021-04-08,0.266667
SEK,2021-04-08,0.116244
SGD,2021-04-08,0.7457713
sll,2021-04-08,9.7835e-05
THB,2021-04-08,0.031804700000000005
TZS,2021-04-08,0.00043122699999999996
UGX,2021-04-08,0.0002738
USD,2021-04-08,1.0
XAF,2021-04-08,0.00181103
XOF,2021-04-08,0.00181103
ZAR,2021-04-08,0.06897360000000001
ZMK,2021-04-08,0.045094800000000004
ZMW,2021-04-08,0.045094800000000004
AED,2021-04-09,0.272294
ARS,2021-04-09,0.010835899999999999
AUD,2021-04-09,0.7612446999999999
BRL,2021-04-09,0.179597
CAD,2021-04-09,0.7940189999999999
CHF,2021-04-09,1.0802379999999998
CZK,2021-04-09,0.0457945
DKK,2021-04-09,0.1599338
ETB,2021-04-09,0.024124200000000002
EUR,2021-04-09,1.1898
GBP,2021-04-09,1.3703
GHS,2021-04-09,0.1733813
ILS,2021-04-09,0.304165
INR,2021-04-09,0.013359200000000002
JPY,2021-04-09,0.00912918
KES,2021-04-09,0.00930168
MAD,2021-04-09,0.1115137
MUR,2021-04-09,0.0245428
MWK,2021-04-09,0.00127264
MXN,2021-04-09,0.0495356
MYR,2021-04-09,0.2417491
NGN,2021-04-09,0.002631578947
NOK,2021-04-09,0.11745499999999999
NZD,2021-04-09,0.7022573000000001
PEN,2021-04-09,0.27793090000000004
PLN,2021-04-09,0.26200500000000004
RUB,2021-04-09,0.0129648
RWF,2021-04-09,0.00100743
SAR,2021-04-09,0.266667
SEK,2021-04-09,0.11694280000000001
SGD,2021-04-09,0.7452300000000001
sll,2021-04-09,9.7884e-05
THB,2021-04-09,0.03181327
TZS,2021-04-09,0.00043121800000000003
UGX,2021-04-09,0.00027427
USD,2021-04-09,1.0
XAF,2021-04-09,0.0018128
XOF,2021-04-09,0.0018128
ZAR,2021-04-09,0.06855499999999999
ZMK,2021-04-09,0.045392400000000006
ZMW,2021-04-09,0.045392400000000006
AED,2021-04-10,0.272294
ARS,2021-04-10,0.010835899999999999
AUD,2021-04-10,0.7612446999999999
BRL,2021-04-10,0.179597
CAD,2021-04-10,0.7940189999999999
CHF,2021-04-10,1.0802379999999998
CZK,2021-04-10,0.0457945
DKK,2021-04-10,0.1599338
ETB,2021-04-10,0.024124200000000002
EUR,2021-04-10,1.1898
GBP,2021-04-10,1.3703
GHS,2021-04-10,0.1733813
ILS,2021-04-10,0.304165
INR,2021-04-10,0.013359200000000002
JPY,2021-04-10,0.00912918
KES,2021-04-10,0.00930168
MAD,2021-04-10,0.1115137
MUR,2021-04-10,0.0245428
MWK,2021-04-10,0.00127264
MXN,2021-04-10,0.0495356
MYR,2021-04-10,0.2417491
NGN,2021-04-10,0.002631578947
NOK,2021-04-10,0.11745499999999999
NZD,2021-04-10,0.7022573000000001
PEN,2021-04-10,0.27793090000000004
PLN,2021-04-10,0.26200500000000004
RUB,2021-04-10,0.0129648
RWF,2021-04-10,0.00100743
SAR,2021-04-10,0.266667
SEK,2021-04-10,0.11694280000000001
SGD,2021-04-10,0.7452300000000001
sll,2021-04-10,9.7884e-05
THB,2021-04-10,0.03181327
TZS,2021-04-10,0.00043121800000000003
UGX,2021-04-10,0.00027427
USD,2021-04-10,1.0
XAF,2021-04-10,0.0018128
XOF,2021-04-10,0.0018128
ZAR,2021-04-10,0.06855499999999999
ZMK,2021-04-10,0.045392400000000006
ZMW,2021-04-10,0.045392400000000006
AED,2021-04-11,0.272294
ARS,2021-04-11,0.010835899999999999
AUD,2021-04-11,0.7612446999999999
BRL,2021-04-11,0.179597
CAD,2021-04-11,0.7940189999999999
CHF,2021-04-11,1.0802379999999998
CZK,2021-04-11,0.0457945
DKK,2021-04-11,0.1599338
ETB,2021-04-11,0.024124200000000002
EUR,2021-04-11,1.1898
GBP,2021-04-11,1.3703
GHS,2021-04-11,0.1733813
ILS,2021-04-11,0.304165
INR,2021-04-11,0.013359200000000002
JPY,2021-04-11,0.00912918
KES,2021-04-11,0.00930168
MAD,2021-04-11,0.1115137
MUR,2021-04-11,0.0245428
MWK,2021-04-11,0.00127264
MXN,2021-04-11,0.0495356
MYR,2021-04-11,0.2417491
NGN,2021-04-11,0.002631578947
NOK,2021-04-11,0.11745499999999999
NZD,2021-04-11,0.7022573000000001
PEN,2021-04-11,0.27793090000000004
PLN,2021-04-11,0.26200500000000004
RUB,2021-04-11,0.0129648
RWF,2021-04-11,0.00100743
